product,status,rows_before,rows_after,same_grid,temperature_blank,temperature_withheld,Temperature (degC)_changed,Luminosity (lux)_changed,Flag_T_changed,Flag_lux_changed,max_temperature_change_degC
CALIFORNIA_2019S1_HOBO_QLF.csv,compared,4704,4704,True,0,0,0,0,0,0,0.0
CALIFORNIA_2019S2_HOBO_QLF.csv,compared,1713,1713,True,0,0,0,0,0,0,0.0
CALIFORNIA_2023S1_HOBO_QLF.csv,compared,7847,7847,True,661,0,0,0,0,0,0.0
ESQCENTRAL_2024S1_HOBO_QLF.csv,compared,1926,1926,True,1567,1567,1567,0,0,0,0.0
ESQCENTRAL_2025S1_HOBO_1_QLF.csv,compared,677,677,True,0,0,0,0,0,0,0.0
ESQCENTRAL_2025S1_HOBO_2_QLF.csv,compared,2368,2368,True,0,0,0,0,0,0,0.0
ESQNORTE_2019S1_HOBO_QLF.csv,compared,4709,4709,True,36,0,0,0,0,0,0.0
ESQNORTE_2021S1_HOBO_1_QLF.csv,compared,8300,8300,True,0,0,0,0,0,0,0.0
ESQNORTE_2021S1_HOBO_2_QLF.csv,compared,5930,5930,True,0,0,0,0,0,0,0.0
ESQNORTE_2021S2_HOBO_QLF.csv,compared,2092,2092,True,0,0,0,0,0,0,0.0
ESQNORTE_2022S2_HOBO_1_QLF.csv,compared,2360,2360,True,0,0,0,0,0,0,0.0
ESQNORTE_2022S2_HOBO_2_QLF.csv,compared,2274,2274,True,176,0,0,0,0,0,0.0
ESQNORTE_2023S1_HOBO_QLF.csv,compared,2219,2219,True,1472,1452,1452,0,0,0,0.0
ESQNORTE_2023S2_HOBO_QLF.csv,compared,2621,2621,True,0,0,0,0,0,0,0.0
ESQNORTE_2025S1_HOBO_QLF.csv,compared,2414,2414,True,0,0,0,0,0,0,0.0
ESQNORTE_2025S2_HOBO_QLF.csv,compared,2127,2127,True,347,296,296,0,0,0,0.0
ESQNORTE_2026S1_HOBO_QLF.csv,compared,2168,2168,True,0,0,0,0,0,0,0.0
ESQRODO_2019S1_HOBO_QLF.csv,compared,4690,4690,True,173,0,0,0,0,0,0.0
ESQRODO_2022S1_HOBO_QLF.csv,compared,4551,4551,True,0,0,0,0,0,0,0.0
ESQRODO_2023S1_HOBO_QLF.csv,compared,2062,2062,True,107,103,103,0,0,0,0.0
ESQRODO_2023S2_HOBO_QLF.csv,compared,2676,2676,True,0,0,0,0,0,0,0.0
ESQRODO_2025S1_HOBO_1_QLF.csv,compared,6057,6057,True,337,0,0,0,0,0,0.0
ESQRODO_2025S1_HOBO_2_QLF.csv,compared,4138,4138,True,0,0,0,0,0,0,0.0
ESQRODO_2025S2_HOBO_QLF.csv,compared,2149,2149,True,0,0,0,0,0,0,0.0
ESQRODO_2026S1_HOBO_QLF.csv,compared,2172,2172,True,83,0,0,0,0,0,0.0
